Date,Name,Year,Letterboxd URI
2023-01-01,Inside,2007,https://boxd.it/1QqG
2023-01-01,Session 9,2001,https://boxd.it/1UXu
2023-01-01,Creepshow,1982,https://boxd.it/1KqU
2023-01-01,Dead of Night,1945,https://boxd.it/1PQI
2023-01-01,Black Sunday,1960,https://boxd.it/1rlG
2023-01-02,Village of the Damned,1960,https://boxd.it/1T7C
2023-01-02,The Vanishing,1988,https://boxd.it/1ZTW
2023-01-02,Tales from the Gimli Hospital,1988,https://boxd.it/Y4G
2023-01-02,Henry: Portrait of a Serial Killer,1986,https://boxd.it/1VCM
2023-01-02,Of Mice and Men,1939,https://boxd.it/Avy
2023-01-02,12 Years a Slave,2013,https://boxd.it/2D2e
2023-01-03,The Searchers,1956,https://boxd.it/25HC
2023-01-03,On the Waterfront,1954,https://boxd.it/29TC
2023-01-03,The Grapes of Wrath,1940,https://boxd.it/2a2u
2023-01-03,Mr. Smith Goes to Washington,1939,https://boxd.it/25Ms
2023-01-03,High Noon,1952,https://boxd.it/2aGa
2023-01-03,All About Eve,1950,https://boxd.it/29LI
2023-01-03,Double Indemnity,1944,https://boxd.it/297I
2023-01-03,The Treasure of the Sierra Madre,1948,https://boxd.it/25Lk
2023-01-03,The Bridge on the River Kwai,1957,https://boxd.it/29wo
2023-01-03,The Best Years of Our Lives,1946,https://boxd.it/29my
2023-01-03,Bonnie and Clyde,1967,https://boxd.it/2ajg
2023-01-03,Midnight Cowboy,1969,https://boxd.it/25Hi
2023-01-03,Shane,1953,https://boxd.it/25Ig
2023-01-03,A Streetcar Named Desire,1951,https://boxd.it/29Mc
2023-01-03,M*A*S*H,1970,https://boxd.it/29U6
2023-01-03,Nashville,1975,https://boxd.it/25GE
2023-01-03,Duck Soup,1933,https://boxd.it/25PG
2023-01-03,Sullivan's Travels,1941,https://boxd.it/1Ko0
2023-01-03,American Graffiti,1973,https://boxd.it/29us
2023-01-03,Cabaret,1972,https://boxd.it/1Vpe
2023-01-03,Network,1976,https://boxd.it/1VqG
2023-01-03,The African Queen,1951,https://boxd.it/2ai8
2023-01-03,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/2atK
2023-01-03,Tootsie,1982,https://boxd.it/1YkG
2023-01-03,Butch Cassidy and the Sundance Kid,1969,https://boxd.it/29Vy
2023-01-03,In the Heat of the Night,1967,https://boxd.it/1VLY
2023-01-03,All the President's Men,1976,https://boxd.it/29lU
2023-01-03,The Wild Bunch,1969,https://boxd.it/2a5y
2023-01-03,Easy Rider,1969,https://boxd.it/29Ys
